Trial #	Score1	Score2	Score3	Trades1	Trades2	Trades3	Fees1	Fees2	Fees3	Winrate1	Winrate2	Winrate3	Average	Deviation	Parameters
1793	1.73	0.19	3.89	306	34	24	5663.72	281.44	212.93	56	47	79	1.937	1.85864	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 148, 'ott_bw_down': 136, 'tps_qty_index': 62, 'max_risk_long': 60, 'max_risk_short': 30}
1798	1.69	2.32	3.6	362	43	28	6197.48	414.45	248.5	54	56	71	2.537	0.97326	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 166, 'tps_qty_index': 62, 'max_risk_long': 60, 'max_risk_short': 44}
1808	1.19	2.01	2.42	47	1	4	460.86	7.93	31.99	64	100	75	1.873	0.62629	{'ott_len': 64, 'ott_percent': 77, 'ott_bw_up': 144, 'ott_bw_down': 141, 'tps_qty_index': 14, 'max_risk_long': 63, 'max_risk_short': 29}
1811	1.37	2.39	3.36	357	44	28	4602.96	422.6	247.66	61	64	71	2.373	0.9951	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 146, 'tps_qty_index': 47, 'max_risk_long': 60, 'max_risk_short': 30}
1842	1.45	2.4	3.4	349	44	28	4818.81	427.51	246.29	59	59	71	2.417	0.97511	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 150, 'tps_qty_index': 40, 'max_risk_long': 60, 'max_risk_short': 30}
1847	0.66	1.98	2.8	119	15	16	1018.61	121.32	132.58	46	60	75	1.813	1.07969	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 162, 'tps_qty_index': 18, 'max_risk_long': 38, 'max_risk_short': 30}
1854	1.28	2.39	3.36	356	44	28	4267.57	422.6	247.66	60	64	71	2.343	1.04078	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 174, 'tps_qty_index': 47, 'max_risk_long': 60, 'max_risk_short': 32}
1867	1.24	1.84	3.94	147	14	14	1885.4	114.06	125.26	59	43	93	2.34	1.41774	{'ott_len': 64, 'ott_percent': 138, 'ott_bw_up': 144, 'ott_bw_down': 156, 'tps_qty_index': 77, 'max_risk_long': 68, 'max_risk_short': 30}
1884	1.71	1.15	3.78	279	33	23	4896.35	279.51	203.78	55	52	78	2.213	1.38536	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 150, 'ott_bw_down': 162, 'tps_qty_index': 62, 'max_risk_long': 60, 'max_risk_short': 30}
1888	1.58	2.1	2.02	485	47	38	7107.27	432.05	328.1	58	62	58	1.9	0.28	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 104, 'tps_qty_index': 51, 'max_risk_long': 63, 'max_risk_short': 20}
1958	2.05	3.14	3.21	142	12	11	2740.66	102.37	95.67	61	50	100	2.8	0.65046	{'ott_len': 64, 'ott_percent': 128, 'ott_bw_up': 145, 'ott_bw_down': 112, 'tps_qty_index': 61, 'max_risk_long': 68, 'max_risk_short': 32}
1966	1.29	2.41	3.27	348	42	28	4040.43	391.69	248.43	61	64	71	2.323	0.99284	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 146, 'tps_qty_index': 51, 'max_risk_long': 60, 'max_risk_short': 30}
1973	1.55	1.09	3.53	79	5	8	1003.59	39.18	68.55	67	40	100	2.057	1.29651	{'ott_len': 64, 'ott_percent': 110, 'ott_bw_up': 144, 'ott_bw_down': 104, 'tps_qty_index': 47, 'max_risk_long': 60, 'max_risk_short': 30}
1975	1.06	2.85	3.4	361	47	29	3765.55	467.24	253.52	63	70	72	2.437	1.22353	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 145, 'tps_qty_index': 109, 'max_risk_long': 68, 'max_risk_short': 32}
1995	1.79	2.98	3.78	120	10	11	1648.36	81.54	96.18	68	60	100	2.85	1.00135	{'ott_len': 64, 'ott_percent': 128, 'ott_bw_up': 145, 'ott_bw_down': 112, 'tps_qty_index': 109, 'max_risk_long': 63, 'max_risk_short': 29}
2002	1.3	2.43	3.83	358	44	27	4334.28	426.79	245.93	55	57	74	2.52	1.2674	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 166, 'tps_qty_index': 16, 'max_risk_long': 60, 'max_risk_short': 30}
